METODO; GRAD; HESS; SISTLIN
3.5750; 303.7589; 162.5293; 1662.4834
47.8859; 328.1990; 151.8891; 4843.2375
142.0979; 342.8389; 152.2348; 6317.8664
244.9435; 342.3637; 149.2911; 6933.6725
618.3266; 349.5047; 149.6475; 7637.3745
916.2199; 347.5395; 148.3464; 7885.2508
1691.0066; 353.9088; 151.1217; 8568.0833
2114.6901; 349.2653; 151.6512; 8224.0449
2159.8007; 348.1897; 151.6278; 8209.3608
2474.5051; 346.0694; 151.5372; 8123.9404
3065.7284; 358.3359; 151.4338; 8064.7389
3602.1608; 356.1673; 151.6116; 8134.9735
3943.9649; 359.9796; 151.4885; 8162.7122
4033.7198; 358.0240; 151.6546; 5853.6059
3979.4659; 359.3834; 151.7021; 5677.9288
2374.6628; 356.8406; 151.8655; 2604.0127
2334.5841; 359.3439; 151.8655; 2549.9375
2105.2348; 360.1018; 151.9045; 2219.5518
2003.3755; 355.7431; 151.8870; 2077.6324
