NÃO OTIMIZADO; OTIMIZADO
14650.0579; 20635.5655
9526.2091; 9146.0844
5396.2307; 6147.8980
4425.9900; 4527.3566
2470.9338; 3103.6452
2292.9858; 2687.1517
1532.8173; 1607.2016
1294.9728; 1381.8475
1223.3743; 1236.5933
999.1768; 1073.3138
870.6235; 939.5991
756.3106; 935.1677
750.2140; 780.0134
528.4817; 633.5710
546.4217; 560.3211
473.3907; 392.3339
430.3875; 483.1423
358.1931; 369.2651
353.9850; 376.6192
