NÃO OTIMIZADO; OTIMIZADO; NÃO OTIMIZADO; OTIMIZADO
502.1530; 570.4075; 157.5382; 178.9514
1163.8407; 1176.4831; 538.5327; 544.3826
1276.9493; 1345.3361; 583.1928; 614.4256
1379.0444; 1441.8157; 663.2107; 693.3987
1471.5708; 1523.8838; 717.6644; 743.1767
1442.1431; 1525.7865; 707.1521; 748.1665
1407.0152; 1438.6760; 694.7794; 710.4135
1372.0894; 1396.4908; 673.7915; 685.7743
1338.4234; 1376.3138; 662.7146; 681.4759
1312.9721; 1350.4856; 651.0426; 669.6439
1282.4128; 1309.5756; 637.2138; 650.7107
1168.3345; 1248.8116; 581.3257; 621.3659
1208.4557; 1241.9881; 601.7165; 618.4130
1206.5573; 1198.8681; 601.7727; 597.9377
1202.1076; 1169.9472; 599.5885; 583.5475
1168.8884; 1168.6083; 583.7142; 583.5743
1167.4657; 1167.3443; 583.0208; 582.9602
1166.9548; 1169.5625; 582.9914; 584.2942
1169.2922; 1167.4780; 584.2894; 583.3829
